id_candidatura,nome_urna,nome_candidato,fb_id,nome_cidade,sigla_estado,numero_partido,nota_partido,sigla_partido,Adoção por famílias LGBTs,Respeito à identidade de gênero de pessoas trans,Cota para mulheres no legislativo,Igualdade de gênero e raça nas escolas,Ações afirmativas raciais,Estado Laico,Combate à violência contra mulher,Descriminalização do aborto,Criminalização da LGBTfobia,Desmilitarização da polícia,Desapropriação por interesse social,Defesa do meio ambiente,Orçamento participativo,Transparência,votos_recebidos,cor_tse,genero,situacao_candidatura,situacao_eleitoral
561,POLICE NETO,José Police Neto,1080086762060191,São Paulo,SP,55,14,PSD,S,S,S,S,S,S,S,S,S,N,S,S,S,S,33537,BRANCA,MASCULINO,DEFERIDO,ELEITO POR QP
532,Marcão Contra Opressão,Marcão Da Mancha,1287960354547500,São Paulo,SP,15,39,PMDB,S,S,S,S,S,S,S,S,N,S,S,N,S,S,408,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
301,ADRIANO COUTO,Adriano Couto,1782867595288998,Rio de Janeiro,RJ,35,54,PMB,S,N,S,S,S,S,S,N,S,N,S,N,S,N,942,PARDA,MASCULINO,DEFERIDO,NÃO ELEITO
628,NAOMY SCHOLLING,Naomy Schölling,10210359933816756,São Paulo,SP,30,50,NOVO,S,S,N,N,N,N,S,S,S,S,N,S,S,S,1557,BRANCA,FEMININO,DEFERIDO,SUPLENTE
227,Sérgio Urt,Sérgio Urt Moraes,10154550147123011,Recife,PE,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,0,BRANCA,MASCULINO,INDEFERIDO COM RECURSO,NÃO ELEITO
613,Profeta Verde,Fernando DaSilva,297778730600533,São Paulo,SP,50,100,PSOL,S,S,N,S,S,S,N,S,N,S,S,S,S,S,1776,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
291,Professor Eduardo Sol,Eduardo Sol,1120501068041906,Rio de Janeiro,RJ,45,28,PSDB,S,S,S,N,S,N,S,N,S,N,S,S,S,S,5741,PARDA,MASCULINO,DEFERIDO,SUPLENTE
325,Thaydinho,Athayde Lucena,1171149772928617,Rio de Janeiro,RJ,77,34,SD,S,S,N,S,N,N,N,N,N,N,S,N,S,S,369,PRETA,MASCULINO,DEFERIDO,SUPLENTE
425,Fernanda Melchionna,Fernanda Melchionna,1115793665124150,Porto Alegre,RS,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,14630,BRANCA,FEMININO,DEFERIDO,ELEITO POR QP
524,Rosi Dias,Rosi Dias,10202261942267890,São Paulo,SP,45,28,PSDB,S,S,S,S,S,N,S,S,S,S,S,S,S,S,293,BRANCA,FEMININO,DEFERIDO,SUPLENTE
